,Level ($),,,,,Change (%) Over Corresponding Period Of Previous Year,,,,
,Annual,1Q ,2Q,3Q,4Q,Annual,1Q ,2Q,3Q,4Q
2011,"3,650","3,943","3,390","3,316","3,951",6.3,9.6,5.8,5.4,4.2
2012,"3,735","3,960","3,498","3,422","4,061",2.3,0.4,3.2,3.2,2.8
2013,"3,909","4,186","3,637","3,540","4,271",4.7,5.7,4.0,3.4,5.2
2014,"4,006","4,329","3,755","3,639","4,302",2.5,3.4,3.2,2.8,0.7
2015,"4,172","4,467","3,914","3,825","4,484",4.1,3.2,4.2,5.1,4.2
2016,"4,353","4,701","4,084","3,971","4,655",4.3,5.2,4.3,3.8,3.8
2017,"4,509","4,816","4,228","4,119","4,873",3.6,2.4,3.5,3.7,4.7
2018,"4,693","5,040","4,411","4,289","5,033",4.1,4.7,4.3,4.1,3.3
2019,"4,827","5,232","4,506","4,512","5,060",2.9,3.8,2.2,5.2,0.5
2020,"4,942","5,371","4,601","4,603","5,194",2.4,2.7,2.1,2.0,2.6
2021,"5,137","5,422","4,749","4,787","5,589",3.9,0.9,3.2,4.0,7.6
