,Year,Industry,Percentage
104,2017,Manufacturing,4.2
105,2017,Construction,2.0
106,2017,Wholesale Trade,3.2
107,2017,Retail Trade,3.6
108,2017,Transport And Storage,3.3
109,2017,Accommodation,2.2
110,2017,Food  Beverage Services,4.2
111,2017,Information And Communications,3.9
112,2017,Financial And Insurance Services,4.2
113,2017,Real Estate Services,3.1
114,2017,Professional Services,4.3
115,2017,Administrative And Support Services,4.3
116,2017,Community Social And Personal Services,4.3
117,2018,Manufacturing,4.2
118,2018,Construction,2.8
119,2018,Wholesale Trade,4.5
120,2018,Retail Trade,3.0
121,2018,Transport And Storage,4.4
122,2018,Accommodation,4.5
123,2018,Food  Beverage Services,3.8
124,2018,Information And Communications,5.0
125,2018,Financial And Insurance Services,6.3
126,2018,Real Estate Services,5.0
127,2018,Professional Services,5.3
128,2018,Administrative And Support Services,4.5
129,2018,Community Social And Personal Services,4.9
130,2019,Manufacturing,3.1
131,2019,Construction,2.5
132,2019,Wholesale Trade,3.6
133,2019,Retail Trade,3.1
134,2019,Transport And Storage,3.3
135,2019,Accommodation,3.5
136,2019,Food  Beverage Services,4.4
137,2019,Information And Communications,5.0
138,2019,Financial And Insurance Services,5.6
139,2019,Real Estate Services,3.9
140,2019,Professional Services,4.6
141,2019,Administrative And Support Services,3.8
142,2019,Community Social And Personal Services,4.0
143,2020,Manufacturing,1.3
144,2020,Construction,0.4
145,2020,Wholesale Trade,2.0
146,2020,Retail Trade,2.0
147,2020,Transport And Storage,-3.0
148,2020,Accommodation,-5.3
149,2020,Food  Beverage Services,1.5
150,2020,Information And Communications,1.5
151,2020,Financial And Insurance Services,3.4
152,2020,Real Estate Services,0.8
153,2020,Professional Services,0.3
154,2020,Administrative And Support Services,1.9
155,2020,Community Social And Personal Services,1.9
156,2021,Manufacturing,4.0
157,2021,Construction,3.7
158,2021,Wholesale Trade,4.4
159,2021,Retail Trade,5.5
160,2021,Transport And Storage,2.8
161,2021,Accommodation,1.7
162,2021,Food  Beverage Services,2.6
163,2021,Information And Communications,5.1
164,2021,Financial And Insurance Services,4.1
165,2021,Real Estate Services,2.7
166,2021,Professional Services,5.3
167,2021,Administrative And Support Services,3.7
168,2021,Community Social And Personal Services,3.2
