,Level ($),,,,,Change (%) Over Corresponding Period Of Previous Year,,,,
,Annual,1Q ,2Q,3Q,4Q,Annual,1Q ,2Q,3Q,4Q
2011,"4,964","5,351","4,653","4,546","5,304",5.9,8.0,6.2,5.5,4.0
2012,"5,080","5,418","4,778","4,688","5,436",2.3,1.3,2.7,3.1,2.5
2013,"5,291","5,661","4,978","4,844","5,682",4.2,4.5,4.2,3.3,4.5
2014,"5,412","5,845","5,100","4,957","5,745",2.3,3.3,2.5,2.3,1.1
2015,"5,584","6,019","5,280","5,136","5,900",3.2,3.0,3.5,3.6,2.7
2016,"5,774","6,239","5,472","5,301","6,084",3.4,3.7,3.6,3.2,3.1
2017,"5,935","6,339","5,637","5,458","6,306",2.8,1.6,3.0,3.0,3.6
2018,"6,118","6,564","5,818","5,627","6,461",3.1,3.5,3.2,3.1,2.5
2019,"6,266","6,772","5,938","5,852","6,503",2.4,3.2,2.1,4.0,0.7
2020,"6,308","6,922","5,939","5,818","6,553",0.7,2.2,-,-0.6,0.8
2021,"6,473","6,892","5,996","6,034","6,972",2.6,-0.4,1.0,3.7,6.4
