Years,Total,Manufacturing,Services,Wholesale And Retail Trade,Transportation And Storage,Accommodation And Food Services,Information And Communications,Financial And Insurance Services,Real Estate Services,Professional Services,Administrative And Support Services,"Community, Social And Personal Services",Others,"Professionals, Managers, Executives & Technicians","Clerical, Sales & Service Workers","Production & Transport Operators, Cleaners & Labourers"
2021,1.7,1.5,1.8,1.8,1.4,3.2,2,1.4,2.1,1.7,3.1,1.1,1.1,1.3,2.5,1.9
2020,1.5,1.2,1.6,1.7,1.1,3.5,1.5,0.9,1.6,1.3,3.1,0.9,0.9,1,2.4,1.9
2019,1.8,1.5,1.8,1.8,1.4,3.4,1.6,1.2,2.5,1.7,3.5,1,1.2,1.2,2.6,2.1
2018,1.8,1.6,1.9,2,1.3,3.3,1.6,1.4,2.5,1.6,3.4,1.1,1.4,1.3,2.5,2.2
2017,1.8,1.5,1.9,2,1.3,3.6,1.6,1.3,2.7,1.5,3.6,1,1.4,1.2,2.6,2.2
2016,1.8,1.5,1.9,2.2,1.4,3.6,1.7,1.2,2.9,1.6,3.5,1,1.2,1.2,2.7,2.1
2015,1.9,1.5,2,2.2,1.5,4,1.8,1.3,3.1,1.8,3.4,1.1,1.4,1.3,2.8,2.1
2014,2,1.5,2.2,2.6,1.7,4.3,1.8,1.4,3.4,1.8,4,1.1,1.5,1.3,3.1,2.3
2013,2,1.5,2.2,2.9,1.7,4.1,2,1.4,3,1.8,3.8,1.1,1.5,1.3,3.1,2.2
2012,2.1,1.6,2.3,2.9,1.6,4.3,2,1.2,3.3,1.8,4.1,1.2,1.7,1.3,3.1,2.2
2011,2,1.6,2.2,2.6,1.6,4.2,1.9,1.5,3.2,1.8,3.9,1.2,1.7,1.4,3,2.1
2010,2,1.5,2.3,2.9,1.6,4.1,2.1,1.6,3.3,1.9,4.1,1.2,1.6,1.4,3.1,2.1
2009,1.8,1.5,1.9,2.4,1.3,3.8,1.6,1.1,2.9,1.6,3.3,1,2,1.1,2.7,1.9
2008,2,1.6,2.2,2.6,1.6,3.9,2.1,1.5,3,2.1,3.6,1.2,2.1,1.5,2.9,1.9
2007,2,1.5,2.3,2.7,1.4,4.4,2.3,1.9,3.2,2.2,3.7,1.2,1.5,1.6,3,1.9
2006,2,1.5,2.2,2.6,1.4,4.4,2,1.8,3.3,2.3,3.3,1.2,1.1,1.5,2.9,1.9
2005,2.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2004,2.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2003,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2002,2.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2001,2.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2000,2.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1999,2.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1998,2.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1997,2.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1996,2.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1995,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1994,3.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1993,3.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1992,3.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1991,3.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1990,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
